지하철역ID,지하철역명,지하철호선ID,지하철호선명,이전지하철역ID,다음지하철역ID,이전지하철역명,다음지하철역명,지하철역X좌표,지하철역Y좌표,환승전호선ID,환승전호선명,환승후호선ID,환승후호선명,차량번호,출입문위치,환승위치
1009000931,삼전,1009,9호선,1009000930,1009000932,종합운동장,석촌고분,37.50454909705648,127.08736363126371,,,,,,,
1009000932,석촌고분,1009,9호선,1009000931,1009000933,삼전,석촌,37.50246245994369,127.0965081858022,,,,,,,
1009000933,석촌,1009,9호선,1009000932,1009000934,석촌고분,송파나루,37.504972845773686,127.10676479806769,,,,,,,
1009000934,송파나루,1009,9호선,1009000933,1009000935,석촌,한성백제,37.51101671275264,127.11266171422028,,,,,,,
1009000935,한성백제,1009,9호선,1009000934,1009000936,송파나루,올림픽공원,37.5165379932802,127.116449169971,,,,,,,
1009000936,올림픽공원,1009,9호선,1009000935,1009000937,한성백제,둔촌오륜,37.5161163241813,127.130252931248,,,,,,,
1009000938,중앙보훈병원,1009,9호선,1009000937,1009000938,둔촌오륜,중앙보훈병원,37.52840258997037,127.1484116781362,,,,,,,
1078330016,가재울,1078,인천2호선,1078330015,1078330017,인천가좌,주안국가산단,37.4841504406643,126.683769149033,,,,,,,
1092004710,정릉,1092,우이신설선,1092004709,1092004711,북한산보국문,성신여대입구,37.602614606648,127.013539545056,,,,,,,
1078330019,시민공원,1078,인천2호선,1078330018,1078330020,주안,석바위시장,37.4583852139167,126.681074618963,,,,,,,
1078330020,석바위시장,1078,인천2호선,1078330019,1078330021,시민공원,인천시청,37.4576690774014,126.692353074376,,,,,,,
1078330021,인천시청,1078,인천2호선,1078330020,1078330022,석바위시장,석천사거리,37.4576690774014,126.692353074376,,,,,,,
1078330022,석천사거리,1078,인천2호선,1078330021,1078330023,인천시청,모래내시장,37.4567884972007,126.710422456642,,,,,,,
1078330023,모래내시장,1078,인천2호선,1078330022,1078330024,석천사거리,만수,37.4558628174958,126.719621557604,,,,,,,
1078330024,만수,1078,인천2호선,1078330023,1078330025,모래내시장,남동구청,37.4549755117309,126.731736248865,,,,,,,
1078330025,남동구청,1078,인천2호선,1078330024,1078330026,만수,인천대공원,37.4481747324298,126.736565773149,,,,,,,
1078330026,인천대공원,1078,인천2호선,1078330025,1078330027,남동구청,운연,37.4484766105613,126.752851963764,,,,,,,
1067080129,천마산,1067,경춘선,1067080128,1067080130,평내호평,마석,37.6592276778117,127.285062700362,,,,,,,
