지하철역ID,지하철역명,지하철호선ID,지하철호선명,이전지하철역ID,다음지하철역ID,이전지하철역명,다음지하철역명,지하철역X좌표,지하철역Y좌표
1009000931,삼전,1009,9호선,1009000930,1009000932,삼전,삼전,127.08736363126373,37.504549097056476
1009000932,석촌고분,1009,9호선,1009000931,1009000933,석촌고분,석촌고분,127.0965081858022,37.50246245994369
1009000933,석촌,1009,9호선,1009000932,1009000934,석촌,석촌,127.10676479806769,37.504972845773686
1009000934,송파나루,1009,9호선,1009000933,1009000935,송파나루,송파나루,127.11266171422027,37.51101671275264
1009000935,한성백제,1009,9호선,1009000934,1009000936,한성백제,한성백제,127.116449169971,37.5165379932802
1009000936,올림픽공원,1009,9호선,1009000935,1009000937,올림픽공원,올림픽공원,127.130252931248,37.5161163241813
1009000938,중앙보훈병원,1009,9호선,1009000937,1009000938,중앙보훈병원,중앙보훈병원,127.14841167813621,37.52840258997037
1078330016,가재울,1078,인천2호선,1078330015,1078330017,가재울,가재울,126.683769149033,37.4841504406643
1092004710,정릉,1092,우이신설선,1092004709,1092004711,정릉,정릉,127.013539545056,37.602614606648
1078330019,시민공원,1078,인천2호선,1078330018,1078330020,시민공원,시민공원,126.681074618963,37.4583852139167
1078330020,석바위시장,1078,인천2호선,1078330019,1078330021,석바위시장,석바위시장,126.692353074376,37.4576690774014
1078330021,인천시청,1078,인천2호선,1078330020,1078330022,인천시청,인천시청,126.692353074376,37.4576690774014
1078330022,석천사거리,1078,인천2호선,1078330021,1078330023,석천사거리,석천사거리,126.710422456642,37.4567884972007
1078330023,모래내시장,1078,인천2호선,1078330022,1078330024,모래내시장,모래내시장,126.719621557604,37.4558628174958
1078330024,만수,1078,인천2호선,1078330023,1078330025,만수,만수,126.731736248865,37.4549755117309
1078330025,남동구청,1078,인천2호선,1078330024,1078330026,남동구청,남동구청,126.736565773149,37.4481747324298
1078330026,인천대공원,1078,인천2호선,1078330025,1078330027,인천대공원,인천대공원,126.752851963764,37.4484766105613
1067080129,천마산,1067,경춘선,1067080128,1067080130,천마산,천마산,127.285062700362,37.6592276778117
1067080130,마석,1067,경춘선,1067080129,1067080131,마석,마석,127.311686554885,37.652792215501
1067080131,대성리,1067,경춘선,1067080130,1067080132,대성리,대성리,127.379706254541,37.6839900741502
1067080132,청평,1067,경춘선,1067080131,1067080133,청평,청평,127.426622860785,37.7355163992466
1067080133,상천,1067,경춘선,1067080132,1067080134,상천,상천,127.454515681516,37.7701784041516
1067080134,가평,1067,경춘선,1067080133,1067080135,가평,가평,127.51073942455,37.8145200514507
1067080135,굴봉산,1067,경춘선,1067080134,1067080136,굴봉산,굴봉산,127.557769861431,37.8320661917515
1067080136,백양리,1067,경춘선,1067080135,1067080137,백양리,백양리,127.589324987859,37.8307917497493
1067080137,강촌,1067,경춘선,1067080136,1067080138,강촌,강촌,127.634151572422,37.805721704842
1067080138,김유정,1067,경춘선,1067080137,1067080139,김유정,김유정,127.714323967766,37.8184490071056
1067080139,남춘천,1067,경춘선,1067080138,1067080140,남춘천,남춘천,127.723850659304,37.8640466747977
1067080140,춘천,1067,경춘선,1067080139,1067080140,춘천,춘천,127.716698593345,37.884512737384
1069073110,계양,1069,인천1호선,1069073110,1069073111,귤현,귤현,126.73633456381877,37.571517804153075
1069073111,귤현,1069,인천1호선,1069073110,1069073112,귤현,귤현,126.742679119614,37.5662988350728
1069073112,박촌,1069,인천1호선,1069073111,1069073113,박촌,박촌,126.74506746745,37.5536612597496
1069073113,임학,1069,인천1호선,1069073112,1069073114,임학,임학,126.738633379569,37.5450120455649
1069073114,계산,1069,인천1호선,1069073113,1069073115,계산,계산,126.7277312169,37.5433079533771
1003000309,원흥,1003,3호선,1003000317,1003000318,원흥,원흥,126.87302523491,37.6506921774602
1063075319,강매,1063,경의중앙선,1063075320,1063075318,강매,강매,126.84449823065067,37.6122904718741
1065006501,서울,1065,공항철도,1065006501,1065006502,공덕,공덕,126.96974961781686,37.55332892758497
1065006502,공덕,1065,공항철도,1065006501,1065006503,공덕,공덕,126.952602261123,37.5423148868697
1065006503,홍대입구,1065,공항철도,1065006502,1065006504,홍대입구,홍대입구,126.927010430346,37.5573052656667
1065006504,디지털미디어시티,1065,공항철도,1065006503,1065065042,디지털미디어시티,디지털미디어시티,126.89788185706144,37.57752092438604
1065006505,김포공항,1065,공항철도,1065065042,1065006506,김포공항,김포공항,126.8024731079849,37.561829756420224
1065006506,계양,1065,공항철도,1065006505,1065006507,계양,계양,126.73627367694554,37.57177084709832
1065006507,검암,1065,공항철도,1065006506,1065065071,검암,검암,126.67364220875055,37.56925281871912
1065065071,청라국제도시,1065,공항철도,1065006507,1065065072,청라국제도시,청라국제도시,126.62465841357525,37.55646453155236
1065006509,공항화물청사,1065,공항철도,1065006508,1065006510,공항화물청사,공항화물청사,126.47751440637,37.4590625046021
1065006510,인천공항1터미널,1065,공항철도,1065006509,1065006510,인천공항1터미널,인천공항1터미널,126.45258454579164,37.44752854508576
1065006511,인천공항2터미널,1065,공항철도,1065006510,1065006511,인천공항2터미널,인천공항2터미널,126.433640888212,37.4688002145258
1071075250,오이도,1071,수인선,1071075250,1071075251,달월,달월,126.73892305019992,37.362929236026645
1071075251,달월,1071,수인선,1071075250,1071075252,달월,달월,126.74540347645,37.3800267658985
1071075252,월곶,1071,수인선,1071075251,1071075253,월곶,월곶,126.742707561155,37.3918207044367
1063075331,금촌,1063,경의중앙선,1063075333,1063075330,금촌,금촌,126.774633255205,37.7662265030421
