지하철역ID,지하철역명,환승전호선ID,환승전호선명,환승후호선ID,환승후호선명,차량번호,출입문위치,환승위치
﻿1006000645,﻿태릉입구,﻿1006,﻿6호선,﻿1007,﻿7호선,﻿8,﻿4,﻿8-﻿4
﻿1003000342,﻿양재,﻿1003,﻿3호선,﻿1077,﻿신분당선,﻿5,﻿4,﻿5-﻿4
﻿1003000342,﻿양재,﻿1003,﻿3호선,﻿1077,﻿신분당선,﻿6,﻿1,﻿6-﻿1
﻿1003000344,﻿도곡,﻿1003,﻿3호선,﻿1075,﻿수인분당선,﻿5,﻿4,﻿5-﻿4
﻿1003000344,﻿도곡,﻿1003,﻿3호선,﻿1075,﻿수인분당선,﻿6,﻿3,﻿6-﻿3
﻿1003000349,﻿수서,﻿1003,﻿3호선,﻿1075,﻿수인분당선,﻿8,﻿4,﻿8-﻿4
﻿1003000349,﻿수서,﻿1003,﻿3호선,﻿1075,﻿수인분당선,﻿3,﻿1,﻿3-﻿1
﻿1003000350,﻿가락시장,﻿1003,﻿3호선,﻿1008,﻿8호선,﻿2,﻿1,﻿2-﻿1
﻿1003000350,﻿가락시장,﻿1003,﻿3호선,﻿1008,﻿8호선,﻿9,﻿4,﻿9-﻿4
﻿1003000352,﻿오금,﻿1003,﻿3호선,﻿1005,﻿5호선,﻿9,﻿4,﻿9-﻿4
﻿1004000411,﻿노원,﻿1004,﻿4호선,﻿1007,﻿7호선,﻿10,﻿0,﻿10-﻿0
﻿1004000411,﻿노원,﻿1004,﻿4호선,﻿1007,﻿7호선,﻿1,﻿0,﻿1-﻿0
﻿1004000411,﻿노원,﻿1004,﻿4호선,﻿1007,﻿7호선,﻿10,﻿4,﻿10-﻿4
﻿1004000411,﻿노원,﻿1004,﻿4호선,﻿1007,﻿7호선,﻿1,﻿1,﻿1-﻿1
﻿1004000412,﻿창동,﻿1004,﻿4호선,﻿1001,﻿1호선,﻿3,﻿4,﻿3-﻿4
﻿1004000412,﻿창동,﻿1004,﻿4호선,﻿1001,﻿1호선,﻿8,﻿1,﻿8-﻿1
﻿1004000421,﻿동대문,﻿1004,﻿4호선,﻿1001,﻿1호선,﻿6,﻿1,﻿6-﻿1
﻿1004000421,﻿동대문,﻿1004,﻿4호선,﻿1001,﻿1호선,﻿5,﻿3,﻿5-﻿3
﻿1004000422,﻿동대문역사문화공원,﻿1004,﻿4호선,﻿1005,﻿5호선,﻿2,﻿3,﻿2-﻿3
﻿1004000422,﻿동대문역사문화공원,﻿1004,﻿4호선,﻿1002,﻿2호선,﻿1,﻿1,﻿1-﻿1
﻿1004000422,﻿동대문역사문화공원,﻿1004,﻿4호선,﻿1005,﻿5호선,﻿9,﻿1,﻿9-﻿1
﻿1004000422,﻿동대문역사문화공원,﻿1004,﻿4호선,﻿1002,﻿2호선,﻿10,﻿4,﻿10-﻿4
﻿1004000423,﻿충무로,﻿1004,﻿4호선,﻿1003,﻿3호선,﻿7,﻿1,﻿7-﻿1
﻿1004000423,﻿충무로,﻿1004,﻿4호선,﻿1003,﻿3호선,﻿5,﻿1,﻿5-﻿1
﻿1004000426,﻿서울,﻿1004,﻿4호선,﻿1001,﻿1호선,﻿1,﻿1,﻿1-﻿1
﻿1004000426,﻿서울,﻿1004,﻿4호선,﻿1001,﻿1호선,﻿10,﻿4,﻿10-﻿4
﻿1004000426,﻿서울,﻿1004,﻿4호선,﻿1063,﻿경의중앙선,﻿1,﻿1,﻿1-﻿1
﻿1004000426,﻿서울,﻿1004,﻿4호선,﻿1063,﻿경의중앙선,﻿10,﻿4,﻿10-﻿4
﻿1004000426,﻿서울,﻿1004,﻿4호선,﻿1065,﻿공항철도,﻿10,﻿4,﻿10-﻿4
﻿1004000426,﻿서울,﻿1004,﻿4호선,﻿1065,﻿공항철도,﻿1,﻿1,﻿1-﻿1
﻿1004000428,﻿삼각지,﻿1004,﻿4호선,﻿1006,﻿6호선,﻿10,﻿4,﻿10-﻿4
﻿1004000428,﻿삼각지,﻿1004,﻿4호선,﻿1006,﻿6호선,﻿1,﻿1,﻿1-﻿1
﻿1004000430,﻿이촌,﻿1004,﻿4호선,﻿1063,﻿경의중앙선,﻿4,﻿2,﻿4-﻿2
﻿1004000430,﻿이촌,﻿1004,﻿4호선,﻿1063,﻿경의중앙선,﻿7,﻿2,﻿7-﻿2
﻿1004000431,﻿동작,﻿1004,﻿4호선,﻿1009,﻿9호선,﻿8,﻿4,﻿8-﻿4
﻿1004000431,﻿동작,﻿1004,﻿4호선,﻿1009,﻿9호선,﻿2,﻿4,﻿2-﻿4
﻿1004000432,﻿총신대입구(이수),﻿1004,﻿4호선,﻿1007,﻿7호선,﻿10,﻿4,﻿10-﻿4
