Unnamed: 0,지하철역ID,지하철역명,지하철호선ID,지하철호선명,이전지하철역ID,다음지하철역ID,기본주소,상세주소,지하철역X좌표,지하철역Y좌표
0,1009000931,삼전,1009,9호선,1009000930,1009000932,서울 송파구 삼전동,133-13,207754.59092,445000.75279
1,1009000932,석촌고분,1009,9호선,1009000931,1009000933,서울 송파구 삼전동,133-13,208546.69877,444785.34871
2,1009000933,석촌,1009,9호선,1009000932,1009000934,서울특별시 송파구 송파동,19,209473.4,445088.5
3,1009000934,송파나루,1009,9호선,1009000933,1009000935,서울 송파구 송파동,48-11,209928.13163,445680.01312
4,1009000935,한성백제,1009,9호선,1009000934,1009000936,서울 송파구 방이동,45-4,210265.51556,446364.36553
5,1009000936,올림픽공원,1009,9호선,1009000935,1009000937,서울특별시 송파구 방이동,89,211619.6874,446415.4267
6,1009000938,중앙보훈병원,1009,9호선,1009000937,1009000938,서울 강동구 둔촌동,6-2,213081.44449,447598.70848
7,1078330016,가재울,1078,인천2호선,1078330015,1078330017,인천광역시 서구 가좌동 288,,172053.588,442777.328
8,1092004710,정릉,1092,우이신설선,1092004709,1092004711,성북구 정릉동,286-19,201193.6252,455904.3242
9,1078330019,시민공원,1078,인천2호선,1078330018,1078330020,인천광역시 남구 주안동 189,,171873.611,439923.634
10,1078330020,석바위시장,1078,인천2호선,1078330019,1078330021,인천광역시 남구 주안동 1597,,171873.611,439923.634
11,1078330021,인천시청,1078,인천2호선,1078330020,1078330022,인천광역시 남동구 예술로 지하 264,,173567.395,439763.651
12,1078330022,석천사거리,1078,인천2호선,1078330021,1078330023,인천광역시 남동구 구월동 73-3,,174407.289,439739.653
13,1078330023,모래내시장,1078,인천2호선,1078330022,1078330024,인천광역시 남구 구월동 341-6,,175231.182,439637.665
14,1078330024,만수,1078,인천2호선,1078330023,1078330025,인천광역시 남동구 만수동 993,,176257.045,439543.675
15,1078330025,남동구청,1078,인천2호선,1078330024,1078330026,인천광역시 남동구 만수동 1006,,176704.989,438781.756
16,1078330026,인천대공원,1078,인천2호선,1078330025,1078330027,인천광역시 남동구 장수동 606-9,,178178.802,438803.754
17,1067080129,천마산,1067,경춘선,1067080128,1067080130,경기도 남양주시 화도음 묵현리,산99-16,225176.2,462195.9
18,1067080130,마석,1067,경춘선,1067080129,1067080131,경기도 남양주시 화도읍 마석중앙로 83-14,,227499.4,461509.0
19,1067080131,대성리,1067,경춘선,1067080130,1067080132,경기도 가평군 청평면 경춘로 88,,233488.6,465020.7
20,1067080132,청평,1067,경춘선,1067080131,1067080133,경기도 가평군 청평면 청평역로 97-33,,237602.1,470726.0
21,1067080133,상천,1067,경춘선,1067080132,1067080134,경기도 가평군 청평면 상천역로 29,,240047.8,474583.6
22,1067080134,가평,1067,경춘선,1067080133,1067080135,경기도 가평군 가평읍 문화로 13-42,,244963.1,479529.1
23,1067080135,굴봉산,1067,경춘선,1067080134,1067080136,강원도 춘천시 남산면 서백길 192,,249086.6,481494.9
24,1067080136,백양리,1067,경춘선,1067080135,1067080137,강원도 춘천시 남산면 북한강변길 690,,251876.2,481380.8
25,1067080137,강촌,1067,경춘선,1067080136,1067080138,강원도 춘천시 남산면 강촌로 34,,255845.7,478619.1
26,1067080138,김유정,1067,경춘선,1067080137,1067080139,강원도 춘천시 신동면 김유정로 1435,,262882.8,480081.0
27,1067080139,남춘천,1067,경춘선,1067080138,1067080140,강원도 춘천시 영서로 2260,,263686.7,485156.5
28,1067080140,춘천,1067,경춘선,1067080139,1067080140,강원도 춘천시 평화로1,,263070.8,487492.2
29,1069073110,계양,1069,인천1호선,1069073110,1069073111,인천광역시 계양구 다남로 24,,176718.9,452476.1
30,1069073111,귤현,1069,인천1호선,1069073110,1069073112,인천광역시 계양구 장제로 1136,,177267.8,451893.2
31,1069073112,박촌,1069,인천1호선,1069073111,1069073113,인천광역시 계양구 장제로 지하992,,177471.8,450490.3
32,1069073113,임학,1069,인천1호선,1069073112,1069073114,인천광역시 계양구 장제로 지하875,,176902.9,449534.5
33,1069073114,계산,1069,인천1호선,1069073113,1069073115,인천광역시 계양구 경명대로 지하1089,,175940.0,449349.4
34,1003000309,원흥,1003,3호선,1003000317,1003000318,경기 고양시 덕양구 원흥동,,188780.7,461245.1
35,1063075319,강매,1063,경의중앙선,1063075320,1063075318,경기도 고양시 덕양구 소원로 202,,186216.5,456976.1
36,1065006501,서울,1065,공항철도,1065006501,1065006502,서울특별시 용산구 동자동,14,197313.8378,450432.7797
37,1065006502,공덕,1065,공항철도,1065006501,1065006503,서울 마포구 도화동,25-13,195824.3,449236.4
38,1065006503,홍대입구,1065,공항철도,1065006502,1065006504,서울특별시 마포구 동교동,165,193520.2917,450917.89
39,1065006504,디지털미디어시티,1065,공항철도,1065006503,1065065042,서울특별시 은평구 증산동,223-27,191147.1605,453125.8651
40,1065006505,김포공항,1065,공항철도,1065065042,1065006506,서울 강서구 방화동,738,182524.5,451427.1
41,1065006506,계양,1065,공항철도,1065006505,1065006507,인천광역시 계양구 귤현동,451-267,176764.4507,452501.689
42,1065006507,검암,1065,공항철도,1065006506,1065065071,인천광역시 서구 검암동,414-204,171157.002,452224.3208
43,1065065071,청라국제도시,1065,공항철도,1065006507,1065065072,인천광역시 서구 경서동 519,404-170,166813.0,450831.5
44,1065006509,공항화물청사,1065,공항철도,1065006508,1065006510,인천광역시 중구 운서동,2164,153762.3962,440097.0217
45,1065006510,인천공항1터미널,1065,공항철도,1065006509,1065006510,인천광역시 중구 운서동,2851,151530.3543,438833.6898
46,1065006511,인천공항2터미널,1065,공항철도,1065006510,1065006511,인천광역시 중구 운서동,2851,149885.0759,441219.6985
47,1071075250,오이도,1071,수인선,1071075250,1071075251,경기도 시흥시 역전로 430,,176858.8,429299.0
48,1071075251,달월,1071,수인선,1071075250,1071075252,경기 시흥시 월곶동 689,,177459.0,431225.6
49,1071075252,월곶,1071,수인선,1071075251,1071075253,경기도 시흥시 월곶중앙로14번길 56,,177219.7,432534.7
50,1063075331,금촌,1063,경의중앙선,1063075333,1063075330,경기도 파주시 새꽃로 193,,180133.2,474071.4
51,1063075330,금릉,1063,경의중앙선,1063075331,1063075329,경기도 파주시 금릉역로 85,,179319.3,472425.6
52,1063075329,운정,1063,경의중앙선,1063075330,1063075328,경기도 파주시 운정역길 368,,179475.3,469567.9
53,1063075327,탄현,1063,경의중앙선,1063075328,1063075326,경기도 고양시 일산서구 경의로 848,,178932.5,466064.4
54,1063075326,일산,1063,경의중앙선,1063075327,1063075325,경기도 고양시 일산서구 경의로 672,,179710.4,464735.6
55,1063075325,풍산,1063,경의중앙선,1063075326,1063075324,경기도 고양시 일산동구 경의로 486,,181147.2,463652.7
56,1063075324,백마,1063,경의중앙선,1063075325,1063075323,경기도 고양시 일산동구 경의로 318,,181880.1,462072.8
57,1063075323,곡산,1063,경의중앙선,1063075324,1063075322,경기도 고양시 일산동구 경의로 160,,182513.0,460698.0
58,1063075322,대곡,1063,경의중앙선,1063075323,1063075321,경기도 고양시 덕양구 대주로 107번길 71-81,,183219.9,459165.1
59,1063075321,능곡,1063,경의중앙선,1063075322,1063075320,경기도 고양시 덕양구 토당로 35,,184145.8,457735.2
60,1063075320,행신,1063,경의중앙선,1063075321,1063075319,경기도 고양시 덕양구 소원로 102,,185365.7,456963.4
61,1063075318,화전,1063,경의중앙선,1063075319,1063075317,경기도 고양시 덕양구 화랑로 53,,188370.2,455950.5
62,1063075317,수색,1063,경의중앙선,1063075318,1063075316,서울특별시 은평구 수색로 261-1,,190785.0,453490.8
63,1063075316,디지털미디어시티,1063,경의중앙선,1063075317,1063075315,서울특별시 은평구 수색로 193,,191225.9,453110.7
64,1063075315,가좌,1063,경의중앙선,1063075316,1063075314,서울특별시 서대문구 수색로 27,,192472.7,452137.9
65,1063075314,홍대입구,1063,경의중앙선,1063075315,1063075313,서울특별시 마포구 양화로 지하188,,193560.6,450889.1
66,1063075313,서강대,1063,경의중앙선,1063075314,1063075312,서울특별시 마포구 서강로 지하118,,194295.6,450302.1
67,1063075312,공덕,1063,경의중앙선,1063075313,1063075826,서울특별시 마포구 마포대로 지하92,,195807.3,449230.2
68,1063075110,용산,1063,경의중앙선,1063075826,1063075111,서울특별시 용산구 한강대로23길 55,,196887.1,447782.9
69,1063075111,이촌,1063,경의중앙선,1063075110,1063075112,서울특별시 용산구 이촌로71길 42,,197661.1,446993.1
70,1063075335,문산,1063,경의중앙선,1063075335,1063075334,경기도 파주시 문산읍 문산역로 94,,181285.1,483886.4
71,1063075334,파주,1063,경의중앙선,1063075335,1063075333,경기도 파주시 파주읍 주라위길 38,,181747.0,479538.9
72,1063075333,월롱,1063,경의중앙선,1063075334,1063075331,경기도 파주시 월롱면 통일로 980,,181719.0,477381.1
73,1063075112,서빙고,1063,경의중앙선,1063075111,1063075113,서울특별시 용산구 서빙고로 238,,198966.9,446679.1
74,1063075113,한남,1063,경의중앙선,1063075112,1063075114,서울특별시 용산구 독서당로6길 12-13,,200809.7,447767.0
75,1063075114,옥수,1063,경의중앙선,1063075113,1063075115,서울특별시 성동구 동호로 지하21,,201654.6,448999.8
76,1063075115,응봉,1063,경의중앙선,1063075114,1063075116,서울특별시 성동구 고산자로 123,,203044.4,450043.7
77,1063075116,왕십리,1063,경의중앙선,1063075115,1063075117,서울특별시 성동구 왕십리광장로 17,,203386.3,451395.6
78,1063075117,청량리,1063,경의중앙선,1063075116,1063075118,서울특별시 동대문구 왕산로 214,,204244.2,453442.3
79,1063075118,회기,1063,경의중앙선,1063075117,1063075119,서울특별시 동대문구 회기로 196,,205123.2,454458.3
80,1063075119,중랑,1063,경의중앙선,1063075118,1063075120,서울특별시 중랑구 중랑역로 9,,206718.9,455045.3
81,1063075120,상봉,1063,경의중앙선,1063075119,1063075121,서울특별시 중랑구 망우로 297,,207512.8,455241.1
82,1063075121,망우,1063,경의중앙선,1063075120,1063075122,서울 중랑구 망우로 55길 11-10,,208157.7,455530.2
83,1063075122,양원,1063,경의중앙선,1063075121,1063075123,서울특별시 중랑구 송림길 147,,209537.6,456344.1
84,1063075123,구리,1063,경의중앙선,1063075122,1063075124,경기도 구리시 건원대로 34번길 32-29,,212654.2,455974.1
85,1063075124,도농,1063,경의중앙선,1063075123,1063075125,경기도 남양주시 경춘로 433,,214229.9,456587.0
86,1063075125,양정,1063,경의중앙선,1063075124,1063075126,경기도 남양주시 경강로 237,,217185.6,456068.1
87,1063075126,덕소,1063,경의중앙선,1063075125,1063075127,경기도 남양주시 와부읍 덕소로 56,,218442.4,454170.3
88,1063075127,도심,1063,경의중앙선,1063075126,1063075128,경기도 남양주시 와부읍 덕소로 237,,219662.2,453370.4
89,1063075128,팔당,1063,경의중앙선,1063075127,1063075129,경기도 남양주시 와부읍 팔당로 107,,221557.0,449790.8
90,1063075129,운길산,1063,경의중앙선,1063075128,1063075130,경기도 남양주시 조안면 운길산로 20,,227404.3,450618.7
91,1063075130,양수,1063,경의중앙선,1063075129,1063075131,경기도 양평군 양서면 목왕로 55-10,,229079.1,449658.8
92,1063075131,신원,1063,경의중앙선,1063075130,1063075132,경기도 양평군 양서면 신원역길 5-3,,232972.5,447413.0
93,1063075132,국수,1063,경의중앙선,1063075131,1063075133,경기도 양평군 양서면 국수역길 45,,235295.3,446376.2
94,1063075133,아신,1063,경의중앙선,1063075132,1063075134,경기도 양평군 옥천면 아신역1길 23-3,,239168.8,446148.1
95,1063075134,오빈,1063,경의중앙선,1063075133,1063075135,경기도 양평군 옥천면 오빈리,산54-4,241874.4,445297.2
96,1063075135,양평(경의중앙선),1063,경의중앙선,1063075134,1063075136,경기도 양평군 양평읍 역전길 30,,243520.2,443819.4
97,1063075136,원덕,1063,경의중앙선,1063075135,1063075137,경기도 양평군 양평읍 원덕흑천길 136,,248345.6,441182.7
98,1063075137,용문,1063,경의중앙선,1063075136,1063075138,경기도 양평군 용문면 용문역길 21,,252515.0,442655.5
99,1063080312,신촌(경의중앙선),1063,경의중앙선,1063075315,1063080313,서울특별시 서대문구 신촌역로 30,,194859.2,451129.6
100,1063080313,서울,1063,경의중앙선,1063080312,1063080313,서울특별시 용산구 한강대로 405,,197320.9,450673.7
101,1067080119,광운대,1067,경춘선,1067080119,1067080120,서울특별시 노원구 석계로 98-2,98-2,205470.8,458262.9
102,1067080120,상봉,1067,경춘선,1067080118,1067080121,서울특별시 중랑구 망우로 297,,207514.0,455274.2
103,1067080121,망우,1067,경춘선,1067080120,1067080122,서울 중랑구 망우로 55길 11-10,,208109.9,455615.7
104,1067080122,신내,1067,경춘선,1067080121,1067080123,서울특별시 중랑구 망우동,320-2,209112.3,457025.0
105,1067080123,갈매,1067,경춘선,1067080122,1067080124,경기도 구리시 갈매동 경춘북로 229,,210124.6,459390.3
106,1067080124,별내,1067,경춘선,1067080123,1067080125,경기도 남양주시 별내면 화접리 182-5,184-2,211207.5,460279.2
107,1091004800,인천공항1터미널,1091,자기부상선,1091004800,1091004801,인천광역시 중구 운서동,2851,151530.3543,438833.6898
